country,gci_overall,ncsi_score,ddl_score,gci_capacity,gci_cooperation,gci_legal,gci_organisational,gci_technical,internet_penetration,gdp_per_capita,hdi_score,cluster_kmeans,cluster_hierarchical
Argentina,50.12,63.64,60.43,3.135239406474615,9.983615486646974,14.553914222031118,10.186348403868491,12.962927103169614,89.22897166,14261.8465667948,0.849,1,4
Australia,97.47,66.23,77.61,19.7205862549092,19.127009130996676,20.0,19.49070550931431,18.516866525196157,96.1160965,65058.3773146674,0.946,0,1
Austria,93.89,68.83,75.76,18.735104478568843,17.14317252024724,18.924698576470785,17.599348267071527,19.115609919548863,95.33467117,56579.504175468,0.926,3,3
Belgium,96.25,94.81,74.07,19.59697315296566,20.0,20.0,17.88425021843576,19.0557278117184,94.62625074,55291.4754541329,0.942,0,1
Brazil,96.6,51.95,59.11,19.36738978005129,19.703049759229536,20.0,18.13700591514157,19.363916577757458,84.15060238,10377.5897719195,0.76,0,1
Canada,97.67,70.13,75.96,19.48931529656608,19.703049759229536,19.451367346938778,20.0,16.782165004984172,94.14530182,54220.3285039875,0.935,0,3
China,92.53,51.95,62.41,18.795183058346133,18.30470886699107,20.0,17.487948730166227,17.542543504038044,90.6,12951.1782397043,0.788,3,3
Czech Republic,74.37,92.21,69.21,13.749763390912555,13.709668275912517,19.44475075667367,17.098906913162825,17.15043699096192,85.99404818,31761.5944102491,0.895,3,3
Denmark,92.6,84.42,82.68,19.741318741683997,17.944444444444443,19.64983137089701,19.49070550931431,19.471893004115223,98.77559197,68043.5466971243,0.952,0,1
Estonia,99.48,93.51,75.59,19.61157722243322,20.0,20.0,20.0,17.648275862068967,93.18342241,30264.0064885057,0.899,0,1
Finland,95.78,85.71,78.35,19.19100001054141,20.0,20.0,18.698013277843835,20.0,93.51385075,52834.2916752703,0.942,0,1
France,97.6,84.42,77.29,20.0,19.703049759229536,20.0,19.49070550931431,19.09607069882951,86.83635789,44700.1384177544,0.91,0,1
Germany,97.41,90.91,80.01,19.702816283894737,19.703049759229536,20.0,19.49070550931431,18.735625486735017,92.4763763,54776.7668235491,0.95,0,1
Ghana,86.69,31.17,40.68,17.356486500765577,17.814160870340643,19.67607285559208,18.891130961861748,19.24186556927298,70.67430115,2383.90410483418,0.602,2,1
Hungary,91.28,67.53,64.25,15.582420830836927,18.574460062060343,19.077777095267155,18.625763037683928,18.101549924892808,91.4500713,22230.6277875187,0.851,3,3
India,97.5,59.74,40.02,20.0,20.0,20.0,18.45360318996553,19.539945130315505,60.25230026,2530.12031278204,0.644,2,1
Israel,90.93,67.53,75.5,18.761348329144617,20.0,19.4734260249972,16.681288431636837,17.429164430788536,87.03842615,52003.7200729997,0.915,3,3
Italy,96.13,79.22,67.26,19.741318741683997,19.703049759229536,19.83803642779604,20.0,18.78105039882132,87.0278292,39277.0838783918,0.906,0,1
Japan,97.82,63.64,78.69,19.531923284213356,19.455925716823018,20.0,19.369364262577392,19.338637270214637,85.00990295,33836.1756271617,0.92,0,1
Kenya,81.7,41.56,37.14,17.39471475832068,17.944444444444443,19.75935836734694,16.374743209620036,18.670411789502666,32.07040024,1942.58802756191,0.601,2,2
Mexico,81.68,37.66,51.46,16.58628484176267,15.362155981405532,17.00192796500916,16.02278522463592,18.749015515400835,81.18318755,13860.9597809326,0.781,3,3
Netherlands,97.05,83.12,81.86,19.019357804181045,19.703049759229536,20.0,19.49070550931431,19.918632195295434,97.00680272,63515.6030780019,0.946,0,1
Nigeria,84.76,54.55,31.76,12.675625117347636,15.38200815859884,19.75935836734694,17.777802283507857,17.98489106666168,40.06399918,2138.76383719983,0.548,2,2
Norway,96.89,67.53,80.19,18.37414320013392,20.0,20.0,19.147081056291583,19.43120840319057,99.00000258,87497.2179649556,0.966,0,1
Poland,93.86,87.01,65.03,19.10065112995973,20.0,19.67607285559208,15.698741364447764,19.2210164352782,86.414744,22145.2660647429,0.881,0,1
Portugal,97.32,89.61,68.46,19.09986353677728,20.0,20.0,19.49070550931431,20.0,85.79012676,27634.6183139773,0.874,0,1
Singapore,98.52,71.43,79.93,19.928228095733612,20.0,20.0,19.49070550931431,19.76997256515775,94.28518987,85412.230345235,0.949,0,1
South Africa,78.46,36.36,49.24,14.09975534281201,18.96635802469136,18.411026461729577,13.668249739527024,17.20923598795582,78.33670044,6034.27208964673,0.717,3,3
South Korea,98.52,68.83,75.76,20.0,20.0,20.0,19.49070550931431,19.76997256515775,97.41597478,35674.095995632,0.929,0,1
Spain,98.52,88.31,72.21,19.87025848074922,20.0,20.0,19.49070550931431,19.76997256515775,95.44564516,33493.2225409111,0.911,0,1
Sweden,94.55,84.42,81.51,19.78418894783292,18.847802845649287,20.0,18.8870601156563,19.43120840319057,95.70327461,54950.2834725622,0.952,0,1
Switzerland,86.97,76.62,82.93,17.978950334569916,17.629130286832282,16.81247726456474,17.4675015088532,19.222363328234245,97.34436623,100623.549627296,0.967,3,3
Turkey,97.49,54.55,58.29,20.0,20.0,20.0,18.981411018628616,19.76997256515775,85.96074155,13375.0947282864,0.855,0,1
United Kingdom,99.54,89.61,79.96,20.0,20.0,20.0,20.0,19.76997256515775,95.44719696,49944.4702124201,0.94,0,1
United States,100.0,64.94,81.05,19.928228095733612,20.0,20.0,20.0,20.0,93.52559662,81032.262117545,0.927,0,1
