country,technical_capacity,legal_regulatory,capacity_building,organisational_measures,cri_score,cri_rank,gci_overall,hdi_score,gdp_per_capita
United Kingdom,0.9441732388818549,1.0,0.9999999999999999,0.9999999999999998,0.9860433097204637,1,99.54,0.94,49944.4702124201
Spain,0.9373563756472914,1.0,0.9923069456852777,0.9740517336642329,0.9759287637492005,2,98.52,0.911,33493.2225409111
Estonia,0.8528253262947865,1.0,0.9769683788030824,0.9999999999999998,0.9574484262744671,3,99.48,0.899,30264.0064885057
Germany,0.8871914869961272,1.0,0.982378420704095,0.9592285087583503,0.9571996041146431,4,97.41,0.95,54776.7668235491
Portugal,0.9069735597159786,1.0,0.9466261938181147,0.9740517336642329,0.9569128717995816,5,97.32,0.874,27634.6183139773
Netherlands,0.9249890732565249,1.0,0.9418525872110252,0.9592285087583503,0.9565175423064751,6,97.05,0.946,63515.6030780019
South Korea,0.8451370563228484,1.0,0.9999999999999999,0.9740517336642329,0.9547971974967704,7,98.52,0.929,35674.095995632
Singapore,0.8431628982863023,1.0,0.9957442678258982,0.9740517336642329,0.9532397249441082,8,98.52,0.949,85412.230345235
United States,0.8162825377432722,1.0,0.9957442678258982,0.9999999999999998,0.9530067013922925,9,100.0,0.927,81032.262117545
Finland,0.9250130606936389,1.0,0.9520301527571534,0.9336645126738856,0.9526769315311694,10,95.78,0.942,52834.2916752703
Belgium,0.933488698440072,1.0,0.9761024270223516,0.8922037449139595,0.9504487175940959,11,96.25,0.942,55291.4754541329
France,0.842182518104987,1.0,0.9999999999999999,0.9592285087583503,0.9503527567158343,12,97.6,0.91,44700.1384177544
Sweden,0.9022177944792097,1.0,0.9872034322117841,0.8857807209985717,0.9438004869223915,13,94.55,0.952,54950.2834725622
Italy,0.8009776366055507,0.9702605543123921,0.9846614331178046,0.9851767750941172,0.9352690997824662,14,96.13,0.906,39277.0838783918
Denmark,0.9194461881451884,0.9357026966928195,0.9846614331178046,0.8714420768157336,0.9278130986928865,15,92.6,0.952,68043.5466971243
Norway,0.8301703043274783,1.0,0.9035944334430533,0.9565442620744435,0.9225772499612438,16,96.89,0.966,87497.2179649556
Australia,0.7656875765674757,1.0,0.9834320953718091,0.9304735908803012,0.9198983157048966,17,97.47,0.946,65058.3773146674
Turkey,0.7132901759697594,1.0,0.9999999999999999,0.9481034673284658,0.9153484108245563,18,97.49,0.855,13375.0947282864
Japan,0.7357346573151352,1.0,0.97224527954661,0.9407102506450145,0.9121725468766899,19,97.82,0.92,33836.1756271617
Canada,0.6941300657677757,0.8992611068888019,0.9697188287611992,0.9851767750941172,0.8870716941279735,20,97.67,0.935,54220.3285039875
Poland,0.8595670738578906,0.9405211086247838,0.9466728943436326,0.7808533045310182,0.8819035953393313,21,93.86,0.881,22145.2660647429
Brazil,0.6714226337478593,1.0,0.9624892261920647,0.8902582798424206,0.8810425349455862,22,96.6,0.76,10377.5897719195
India,0.6015411328642394,1.0,0.9999999999999999,0.9212119568905395,0.8806882724386946,23,97.5,0.644,2530.12031278204
Israel,0.6757642012889872,0.9033114797543296,0.9265538538785473,0.8309135220537387,0.8341357642439007,24,90.93,0.915,52003.7200729997
China,0.6172678112360865,1.0,0.9285600922128469,0.7873865069333548,0.833303602595572,25,92.53,0.788,12951.1782397043
Austria,0.8037754533365256,0.8025551804785844,0.924997718502048,0.735080433399506,0.816602196429166,26,93.89,0.926,56579.504175468
Hungary,0.7295854472919617,0.83066316941545,0.7380585900010319,0.858822999751415,0.7892825516149646,27,91.28,0.851,22230.6277875187
Ghana,0.489683104955782,0.9405211086247838,0.8432522368417549,0.8343905696344862,0.7769617550142017,28,86.69,0.602,2383.90410483418
Switzerland,0.8596435977717497,0.4147130865382649,0.8801613782643322,0.7526210581601254,0.726784780183618,29,86.97,0.967,100623.549627296
Czech Republic,0.7866288180848301,0.8980461810622802,0.6293907301899679,0.5381888385286091,0.7130636419664218,30,74.37,0.895,31761.5944102491
Kenya,0.32477385985990154,0.9558138372284679,0.8455189904872101,0.7126855594699082,0.709698061761372,31,81.7,0.601,1942.58802756191
Nigeria,0.4001519390963355,0.9558138372284679,0.5656994451813153,0.6562583896506611,0.6444809027891949,32,84.76,0.548,2138.76383719983
South Africa,0.4587467888578536,0.7082356754830568,0.6501435864169234,0.6258033456428813,0.6107323491001788,33,78.46,0.717,6034.27208964673
Mexico,0.5526689997296445,0.44949966687653387,0.7975829458529103,0.565850277642062,0.5914004725252877,34,81.68,0.781,13860.9597809326
Argentina,0.4547413422260555,0.0,0.0,0.0,0.11368533555651388,35,50.12,0.849,14261.8465667948
