country,PC1,PC2,PC3,PC4
Argentina,-8.911299160494591,3.703240078147019,0.20100179230380885,-0.14395615268882742
Australia,0.9258686798578638,0.3477745759927828,-0.380958154530256,-0.48801591124178667
Austria,-0.1880601189648735,0.7779521382870745,-0.5468885171955371,0.5917407492078323
Belgium,1.1985404985415111,0.8027596189202069,0.6295032708694576,-0.1451215126742973
Brazil,0.20823163104558395,-1.2829919000665628,-0.7127830929250049,-0.2177448507888439
Canada,0.4343636563004673,0.6962247670261297,-0.07096939900962443,-1.3473723386644896
China,-0.6311730330298929,-0.42051715382702415,-0.5327621528180478,-1.0431670896975413
Czech Republic,-1.9538814388647787,1.512662862519533,1.8236891131009167,0.3752315621809402
Denmark,1.2450244895147695,1.1152966726945586,0.11227113426067589,0.5867075354673557
Estonia,1.2393551006911792,0.9165786151866626,0.9522075814574368,-0.8553298482140983
Finland,1.5213466703937573,0.5032593707166131,0.17936065418967773,0.35784177316229276
France,1.3542844509321788,0.2805245952868867,0.4949099966958704,-0.02503543640874385
Germany,1.4357446961681044,0.8418330163205314,0.6503210598434273,-0.21341715309938675
Ghana,-1.2605477279488164,-2.7098852906608966,-0.7592531851553552,0.20108356487441184
Hungary,-0.6675557712879534,0.28935413253325604,-0.05798965858918811,-0.2429335800330133
India,-0.13873582498732515,-2.8211610015745805,0.40813809753021146,0.11441788066089782
Israel,-0.25964679190215467,0.39336787267673623,-0.26114822487367734,-1.163824997390156
Italy,1.0139052638236603,-0.1376614847119956,0.40637336161291066,-0.17341376000447498
Japan,0.9979602504964958,-0.2593687513040901,-0.3270449240161149,-0.024161513556297167
Kenya,-2.359108885376324,-3.869696023554798,0.7612287821839095,0.12260674885533344
Mexico,-3.015208704413397,-0.5970061291529214,-1.5931228608525816,1.1677085026264364
Netherlands,1.66655936113217,0.7110539572078746,0.04077282401080392,0.3582614787902596
Nigeria,-3.213085531276355,-2.9573174951916474,1.8490797555809466,0.46454395670490134
Norway,1.2035308160756166,0.4390052894948192,-0.593318091585947,-0.16578186569318978
Poland,0.2075651268305,0.13274930288190878,0.37981617379585964,-0.04659880560147828
Portugal,1.4240486957241554,-0.10097005970299418,0.714442252861494,0.5050856043445249
Singapore,1.567402477056164,0.19693187518051344,-0.4139030803343494,0.10698190422074198
South Africa,-3.224105964331831,-0.961351316620294,-1.202488138006735,-1.0338502629806445
South Korea,1.502340741058459,0.09043376658698175,-0.5803897956184397,0.05676045510008213
Spain,1.6575593493079694,0.3816516750019992,0.3327191560085994,0.2693050742247802
Sweden,1.336771647265856,0.8274394378344144,0.20360796367303646,0.2499449034500117
Switzerland,-0.6207392064029875,1.8470425780376702,-1.053388544079993,1.299423374697052
Turkey,0.688769427248762,-1.3448462907102012,-0.7210483686973244,-0.0037270671289583333
United Kingdom,1.9540452010780351,0.6757968786566737,0.34258488728348585,0.3007622241386045
United States,1.6599299287380245,-0.020160180112842607,-0.6745716689743527,0.2050448531597678
